TradeId,TradePairId,Market,Type,Rate,Amount,Total,Fee,TimeStamp
68559602,6130,UBT/BTC,Sell,3.63e-06,3588.93992836,0.01302785,2.606e-05,2018-09-07T08:22:11.327899
68556699,6130,UBT/BTC,Buy,3.53e-06,5000.0,0.01765,3.53e-05,2018-09-07T07:26:42.1738876
68556699,6130,UBT/BTC,Buy,3.53e-06,5000.0,0.01765,3.53e-05,2018-09-07T07:26:42.1738876
68556679,6130,UBT/BTC,Buy,3.53e-06,2500.0,0.008825,1.765e-05,2018-09-07T07:26:28.7272978
68556679,6130,UBT/BTC,Buy,3.53e-06,2500.0,0.008825,1.765e-05,2018-09-07T07:26:28.7272978
68556579,6130,UBT/BTC,Buy,3.65e-06,5000.0,0.01825,3.65e-05,2018-09-07T07:25:11.1793891
68556579,6130,UBT/BTC,Buy,3.65e-06,5000.0,0.01825,3.65e-05,2018-09-07T07:25:11.1793891
68556550,6130,UBT/BTC,Buy,3.68e-06,2500.0,0.0092,1.84e-05,2018-09-07T07:24:51.3048952
68556550,6130,UBT/BTC,Buy,3.68e-06,2500.0,0.0092,1.84e-05,2018-09-07T07:24:51.3048952
68556396,6130,UBT/BTC,Buy,3.65e-06,2500.0,0.009125,1.825e-05,2018-09-07T07:23:41.9711144
68556396,6130,UBT/BTC,Buy,3.65e-06,2500.0,0.009125,1.825e-05,2018-09-07T07:23:41.9711144
68556395,6130,UBT/BTC,Buy,3.65e-06,5000.0,0.01825,3.65e-05,2018-09-07T07:23:41.7054693
68556395,6130,UBT/BTC,Buy,3.65e-06,5000.0,0.01825,3.65e-05,2018-09-07T07:23:41.7054693
68555731,6130,UBT/BTC,Buy,3.56e-06,2500.0,0.0089,1.78e-05,2018-09-07T07:15:17.8277487
68555731,6130,UBT/BTC,Buy,3.56e-06,2500.0,0.0089,1.78e-05,2018-09-07T07:15:17.8277487
68555534,6130,UBT/BTC,Buy,3.52e-06,5000.0,0.0176,3.52e-05,2018-09-07T07:09:54.5037962
68555534,6130,UBT/BTC,Buy,3.52e-06,5000.0,0.0176,3.52e-05,2018-09-07T07:09:54.5037962
68555528,6130,UBT/BTC,Buy,3.52e-06,2500.0,0.0088,1.76e-05,2018-09-07T07:09:43.5585264
68555528,6130,UBT/BTC,Buy,3.52e-06,2500.0,0.0088,1.76e-05,2018-09-07T07:09:43.5585264
68555510,6130,UBT/BTC,Buy,3.55e-06,5000.0,0.01775,3.55e-05,2018-09-07T07:08:28.0007096
68555510,6130,UBT/BTC,Buy,3.55e-06,5000.0,0.01775,3.55e-05,2018-09-07T07:08:28.0007096
68555500,6130,UBT/BTC,Buy,3.56e-06,2500.0,0.0089,1.78e-05,2018-09-07T07:08:09.1301341
68555500,6130,UBT/BTC,Buy,3.56e-06,2500.0,0.0089,1.78e-05,2018-09-07T07:08:09.1301341
68554207,6130,UBT/BTC,Buy,3.53e-06,5000.0,0.01765,3.53e-05,2018-09-07T06:40:33.109695
68554207,6130,UBT/BTC,Buy,3.53e-06,5000.0,0.01765,3.53e-05,2018-09-07T06:40:33.109695
68554195,6130,UBT/BTC,Buy,3.53e-06,2500.0,0.008825,1.765e-05,2018-09-07T06:40:27.108023
68554195,6130,UBT/BTC,Buy,3.53e-06,2500.0,0.008825,1.765e-05,2018-09-07T06:40:27.108023
68553844,6130,UBT/BTC,Buy,3.57e-06,2500.0,0.008925,1.785e-05,2018-09-07T06:32:58.1076648
68553844,6130,UBT/BTC,Buy,3.57e-06,2500.0,0.008925,1.785e-05,2018-09-07T06:32:58.1076648
68553814,6130,UBT/BTC,Buy,3.51e-06,5000.0,0.01755,3.51e-05,2018-09-07T06:31:51.4420283
68553814,6130,UBT/BTC,Buy,3.51e-06,5000.0,0.01755,3.51e-05,2018-09-07T06:31:51.4420283
68553810,6130,UBT/BTC,Buy,3.5e-06,2500.0,0.00875,1.75e-05,2018-09-07T06:31:42.0145716
68553810,6130,UBT/BTC,Buy,3.5e-06,2500.0,0.00875,1.75e-05,2018-09-07T06:31:42.0145716
68553767,6130,UBT/BTC,Buy,3.56e-06,2500.0,0.0089,1.78e-05,2018-09-07T06:30:20.8643326
68553767,6130,UBT/BTC,Buy,3.56e-06,2500.0,0.0089,1.78e-05,2018-09-07T06:30:20.8643326
68553766,6130,UBT/BTC,Buy,3.57e-06,2500.0,0.008925,1.785e-05,2018-09-07T06:30:20.8643326
68553766,6130,UBT/BTC,Buy,3.57e-06,2500.0,0.008925,1.785e-05,2018-09-07T06:30:20.8643326
68553761,6130,UBT/BTC,Buy,3.57e-06,2500.0,0.008925,1.785e-05,2018-09-07T06:30:14.3087456
68553761,6130,UBT/BTC,Buy,3.57e-06,2500.0,0.008925,1.785e-05,2018-09-07T06:30:14.3087456
68553634,6130,UBT/BTC,Buy,3.47e-06,2500.0,0.008675,1.735e-05,2018-09-07T06:28:08.0838927
68553634,6130,UBT/BTC,Buy,3.47e-06,2500.0,0.008675,1.735e-05,2018-09-07T06:28:08.0838927
68553444,6130,UBT/BTC,Buy,3.54e-06,5000.0,0.0177,3.54e-05,2018-09-07T06:24:36.3342927
68553444,6130,UBT/BTC,Buy,3.54e-06,5000.0,0.0177,3.54e-05,2018-09-07T06:24:36.3342927
68553433,6130,UBT/BTC,Buy,3.54e-06,329.74319784,0.00116729,2.33e-06,2018-09-07T06:24:27.4423001
68553433,6130,UBT/BTC,Buy,3.54e-06,329.74319784,0.00116729,2.33e-06,2018-09-07T06:24:27.4423001
68553432,6130,UBT/BTC,Buy,3.52e-06,2170.25680216,0.0076393,1.528e-05,2018-09-07T06:24:27.4423001
68553354,6130,UBT/BTC,Buy,3.4e-06,200.0,0.00068,1.36e-06,2018-09-07T06:23:08.2203196
68553345,6130,UBT/BTC,Buy,3.35e-06,600.0,0.00201,4.02e-06,2018-09-07T06:23:01.9467672
68551224,6130,UBT/BTC,Buy,3.34e-06,1172.49805104,0.00391614,7.83e-06,2018-09-07T05:24:22.6042921
68551223,6130,UBT/BTC,Buy,3.34e-06,5000.0,0.0167,3.34e-05,2018-09-07T05:24:22.6042921
68551222,6130,UBT/BTC,Buy,3.34e-06,2500.0,0.00835,1.67e-05,2018-09-07T05:24:22.6042921
68535562,6130,UBT/BTC,Buy,3.25e-06,2500.0,0.008125,1.625e-05,2018-09-06T21:25:25.6092494
68532318,6130,UBT/BTC,Buy,3.23e-06,500.0,0.001615,3.23e-06,2018-09-06T20:07:28.1836013
68532317,6130,UBT/BTC,Buy,3.23e-06,2500.0,0.008075,1.615e-05,2018-09-06T20:07:28.1836013
68530585,6130,UBT/BTC,Buy,3.2e-06,6474.55018071,0.02071856,4.144e-05,2018-09-06T19:33:03.2689271
68530584,6130,UBT/BTC,Buy,3.2e-06,5000.0,0.016,3.2e-05,2018-09-06T19:33:03.2689271
68530583,6130,UBT/BTC,Buy,3.2e-06,2500.0,0.008,1.6e-05,2018-09-06T19:33:03.2689271
68528579,6130,UBT/BTC,Sell,3.28e-06,750.0,0.00246,4.92e-06,2018-09-06T18:54:16.764261
68527959,6130,UBT/BTC,Buy,3.19e-06,3594.85625023,0.01146759,2.294e-05,2018-09-06T18:39:58.7797298
68527958,6130,UBT/BTC,Buy,3.19e-06,5000.0,0.01595,3.19e-05,2018-09-06T18:39:58.7797298
68527957,6130,UBT/BTC,Buy,3.19e-06,2500.0,0.007975,1.595e-05,2018-09-06T18:39:58.7797298
68527866,6130,UBT/BTC,Buy,3.18e-06,7500.0,0.02385,4.77e-05,2018-09-06T18:38:37.5061478
68527865,6130,UBT/BTC,Buy,3.19e-06,5000.0,0.01595,3.19e-05,2018-09-06T18:38:37.5061478
68527864,6130,UBT/BTC,Buy,3.19e-06,2500.0,0.007975,1.595e-05,2018-09-06T18:38:37.5061478
68524285,6130,UBT/BTC,Sell,3.32e-06,3482.55296636,0.01156208,2.312e-05,2018-09-06T17:06:39.3510044
68524284,6130,UBT/BTC,Sell,3.32e-06,5000.0,0.0166,3.32e-05,2018-09-06T17:06:39.3510044
68524283,6130,UBT/BTC,Sell,3.32e-06,2500.0,0.0083,1.66e-05,2018-09-06T17:06:39.3510044
68523308,6130,UBT/BTC,Sell,3.32e-06,905.16557247,0.00300515,6.01e-06,2018-09-06T16:47:02.91458
68487015,6130,UBT/BTC,Buy,3.29e-06,2356.26888638,0.00775212,1.55e-05,2018-09-06T02:15:08.9047575
68487014,6130,UBT/BTC,Buy,3.29e-06,2500.0,0.008225,1.645e-05,2018-09-06T02:15:08.9047575
68479136,6130,UBT/BTC,Sell,3.23e-06,600.0,0.001938,3.88e-06,2018-09-06T00:16:45.1217203
68478329,6130,UBT/BTC,Sell,3.23e-06,2749.30016129,0.00888024,1.776e-05,2018-09-05T23:56:40.9836284
68478318,6130,UBT/BTC,Sell,3.23e-06,5000.0,0.01615,3.23e-05,2018-09-05T23:56:31.2566438
68478262,6130,UBT/BTC,Sell,3.23e-06,2500.0,0.008075,1.615e-05,2018-09-05T23:55:27.2843034
68478261,6130,UBT/BTC,Sell,3.23e-06,7500.0,0.024225,4.845e-05,2018-09-05T23:55:27.2843034
68478259,6130,UBT/BTC,Sell,3.23e-06,5000.0,0.01615,3.23e-05,2018-09-05T23:55:23.1151174
68478256,6130,UBT/BTC,Sell,3.24e-06,2500.0,0.0081,1.62e-05,2018-09-05T23:55:19.0680878
68478255,6130,UBT/BTC,Sell,3.24e-06,7500.0,0.0243,4.86e-05,2018-09-05T23:55:19.0680878
68478254,6130,UBT/BTC,Sell,3.24e-06,5000.0,0.0162,3.24e-05,2018-09-05T23:55:19.0680878
68477997,6130,UBT/BTC,Sell,3.23e-06,2500.0,0.008075,1.615e-05,2018-09-05T23:52:03.3900291
68477945,6130,UBT/BTC,Sell,3.24e-06,7500.0,0.0243,4.86e-05,2018-09-05T23:50:56.2298195
68477944,6130,UBT/BTC,Sell,3.24e-06,5000.0,0.0162,3.24e-05,2018-09-05T23:50:56.2298195
68477931,6130,UBT/BTC,Sell,3.23e-06,2500.0,0.008075,1.615e-05,2018-09-05T23:50:40.2712835
68477919,6130,UBT/BTC,Sell,3.23e-06,2500.0,0.008075,1.615e-05,2018-09-05T23:50:29.3552974
68477908,6130,UBT/BTC,Sell,3.23e-06,2500.0,0.008075,1.615e-05,2018-09-05T23:50:21.5487194
68474508,6130,UBT/BTC,Sell,3.33e-06,1549.18391445,0.00515878,1.032e-05,2018-09-05T22:24:37.8726169
68473170,6130,UBT/BTC,Sell,3.39e-06,4815.3073285,0.01632389,3.265e-05,2018-09-05T21:56:41.8570573
68473169,6130,UBT/BTC,Sell,3.37e-06,7500.0,0.025275,5.055e-05,2018-09-05T21:56:41.8570573
68473167,6130,UBT/BTC,Sell,3.36e-06,2500.0,0.0084,1.68e-05,2018-09-05T21:56:41.8570573
68470446,6130,UBT/BTC,Sell,3.35e-06,1275.92873954,0.00427436,8.55e-06,2018-09-05T20:55:54.4845969
68468209,6130,UBT/BTC,Buy,3.23e-06,5000.0,0.01615,3.23e-05,2018-09-05T19:54:19.2793593
68468209,6130,UBT/BTC,Buy,3.23e-06,5000.0,0.01615,3.23e-05,2018-09-05T19:54:19.2793593
68468202,6130,UBT/BTC,Buy,3.23e-06,2500.0,0.008075,1.615e-05,2018-09-05T19:54:10.0672443
68468202,6130,UBT/BTC,Buy,3.23e-06,2500.0,0.008075,1.615e-05,2018-09-05T19:54:10.0672443
68467620,6130,UBT/BTC,Sell,3.23e-06,2356.26888638,0.00761075,1.522e-05,2018-09-05T19:43:04.5612894
68467619,6130,UBT/BTC,Sell,3.23e-06,2500.0,0.008075,1.615e-05,2018-09-05T19:43:04.5612894
68462262,6130,UBT/BTC,Sell,3.23e-06,950.84685589,0.00307124,6.14e-06,2018-09-05T18:02:39.7696684
68462261,6130,UBT/BTC,Sell,3.23e-06,2138.94878503,0.0069088,1.382e-05,2018-09-05T18:02:39.7696684
68462172,6130,UBT/BTC,Sell,3.23e-06,361.05121497,0.0011662,2.33e-06,2018-09-05T18:00:40.4609638
68461822,6130,UBT/BTC,Sell,3.23e-06,1299.00928793,0.0041958,8.39e-06,2018-09-05T17:52:44.6054881
68461802,6130,UBT/BTC,Sell,3.23e-06,7500.0,0.024225,4.845e-05,2018-09-05T17:52:25.0697805
68461801,6130,UBT/BTC,Sell,3.23e-06,5000.0,0.01615,3.23e-05,2018-09-05T17:52:25.0697805
68461800,6130,UBT/BTC,Sell,3.23e-06,2500.0,0.008075,1.615e-05,2018-09-05T17:52:25.0697805
68450333,6130,UBT/BTC,Buy,3.22e-06,2113.66459627,0.006806,1.361e-05,2018-09-05T14:58:41.6273502
68445308,6130,UBT/BTC,Sell,3.29e-06,589.55690976,0.00193964,3.88e-06,2018-09-05T13:36:11.7723678
68430718,6130,UBT/BTC,Buy,3.29e-06,749.49484596,0.00246584,4.93e-06,2018-09-05T10:09:17.267034
68430718,6130,UBT/BTC,Buy,3.29e-06,749.49484596,0.00246584,4.93e-06,2018-09-05T10:09:17.267034
68426411,6130,UBT/BTC,Sell,3.44e-06,5000.0,0.0172,3.44e-05,2018-09-05T09:10:08.2601681
68426410,6130,UBT/BTC,Sell,3.44e-06,2500.0,0.0086,1.72e-05,2018-09-05T09:10:08.2601681
68423215,6130,UBT/BTC,Sell,3.5e-06,4030.78414599,0.01410774,2.822e-05,2018-09-05T07:58:34.430319
68423214,6130,UBT/BTC,Sell,3.5e-06,5000.0,0.0175,3.5e-05,2018-09-05T07:58:34.430319
68423213,6130,UBT/BTC,Sell,3.49e-06,2500.0,0.008725,1.745e-05,2018-09-05T07:58:34.430319
68423142,6130,UBT/BTC,Buy,3.4e-06,5000.0,0.017,3.4e-05,2018-09-05T07:56:37.9497551
68423142,6130,UBT/BTC,Buy,3.4e-06,5000.0,0.017,3.4e-05,2018-09-05T07:56:37.9497551
68423138,6130,UBT/BTC,Buy,3.39e-06,2500.0,0.008475,1.695e-05,2018-09-05T07:56:24.5156665
68423138,6130,UBT/BTC,Buy,3.39e-06,2500.0,0.008475,1.695e-05,2018-09-05T07:56:24.5156665
